"","Species","427","478","546","608","659","724","831","908"
"101","GS",2.30067271360548,2.83148034636016,5.15942924361663,4.44115193090407,3.82240592179743,16.2333890386709,30.9809555400385,31.7793909570361
"102","GS",3.23765764832898,3.95886641230545,6.80420120814238,6.22814882202614,5.62512406090919,18.2381923325541,30.9169501500101,31.9005469216027
"103","GS",4.74190713414357,5.59580757048337,9.4863615977555,8.77829033818158,7.98405432559112,23.8081848808094,36.4322200409931,37.7629601707985
"104","GS",4.67242328422957,5.47124731574488,9.41680223595428,8.6709240604517,7.792750486058,23.6234245042254,36.3524635627797,37.6523056207763
"105","GS",4.52084202217253,5.36570975447788,9.17649539539808,8.6090774251645,7.87195215093772,22.6025425252092,34.2137323985201,35.335028741862
"106","GS",3.52557136881894,4.19593399243882,7.86241210136043,7.05905626801338,6.13328374964437,20.7334379116755,32.9307290167917,33.9098830477029
"107","GS",3.18020632084402,4.04144553769625,7.88112157816813,6.98530129011435,6.0316690935262,21.4418361421818,33.2828064580694,34.442463015871
"108","GS",2.30873019706137,2.93764586240743,5.23736122703163,5.05525196242917,4.7916423848617,14.1720389256249,22.9836932086742,24.3859089924665
"109","GS",5.77681597599015,6.5670915939276,10.6216201807082,9.64941223154695,8.44132644606782,24.7912253265161,40.0203316119987,41.3541011453443
"110","GS",4.52264522026486,5.21683423740513,9.03147912117215,8.03324433022476,6.86374308935577,22.4703456619532,36.5424582937354,37.8254473020639
"111","GS",3.86622108176863,4.52844380942385,7.84865752965848,7.05254921075876,6.13703786233215,19.5926969793155,32.0404021624987,33.4277856742734
"112","GS",1.94492724042364,2.44476840799663,4.65947217129136,4.17234063123088,3.72807699692326,13.833075890703,24.2248446734879,25.6018985530844
"113","GS",2.42424629386546,3.07865374076205,5.27997856581723,5.07355558448336,4.83341341702982,13.8596916541017,23.091893383278,24.8786145804831
"114","GS",2.36418502195833,2.95281497622482,5.24825198907331,4.93694084377526,4.56360699969909,15.1844232929722,26.4677759491624,27.9673697207605
"115","GS",3.04522027539182,3.77989340896238,7.1333695829797,6.40230650179342,5.50180168029846,19.485937972853,31.9168050576375,33.0964772086873
"116","GS",3.51161237316957,4.32969393754055,8.258286784165,7.34286082852983,6.14832043039503,20.856911121234,31.8575647207562,32.9000468990599
"117","GS",3.37656092446508,4.04631213558459,7.92581056036706,6.54232909024434,5.16623006611552,21.6746904599396,36.0325710345948,36.6618572797102
"118","OPS",3.28579527541534,4.14891133512452,8.39876247035495,6.06863012224819,4.55718350698421,35.7392103532433,64.8848117211443,62.9250701127937
"119","OPS",3.52063189612782,4.4907959543398,8.94551925131793,6.48457715668424,4.93219846512608,37.6533226691116,68.0893012741215,65.9518921537011
"120","OPS",2.39372022083919,3.09221335015221,6.60448716365183,4.79034287802958,3.51532788081134,28.2738133463977,52.6829791811293,51.2937081419453
"121","OPS",2.83556111253581,3.43914759056216,6.49703714502424,4.914239250068,3.74940085933424,24.9157652672815,44.6806681091002,43.6296700562525
"122","OPS",2.8937544604234,3.5595470024294,7.48320819562803,5.67318309759771,4.1390644646148,26.7004124527594,46.1199160983908,45.5060120165491
"123","OPS",2.20871828853396,2.79108161287368,7.12044862014002,5.33673891944013,3.67457186927537,24.217809906745,38.9410694182089,38.9628075301914
"124","OPS",2.24439821045549,2.868930512549,7.68926795894266,5.6414070835954,3.75394901101838,27.212054443505,43.8787024310843,43.7145581264252
"125","OPS",2.23337596661231,2.76519153905161,6.36070866115993,5.06743598003566,3.87073558186878,21.7698100733923,35.4016563947437,36.0120166267497
"126","OPS",3.16998613348026,3.93008777467125,7.64049431730606,6.92249922428941,6.09804941441046,22.5579692072524,34.4846289926792,36.0758091732499
"127","OPS",2.24794731161554,2.71513961975736,6.95661484418063,5.08019090109212,3.67977895342401,28.2277236093488,49.4701370410586,50.1483389941025
"128","OPS",2.37308981856769,2.82350602286143,7.40851488464419,5.34269948722672,3.81046905567832,30.0070070194756,52.4707171618537,53.2211442195181
"129","OPS",2.27696687823622,2.7581169745618,7.4750841179376,5.44963174373837,3.84907783739559,29.464731071156,50.086895416386,50.2114239580976
"130","OPS",2.30561507892026,2.85788305072439,7.53775827420423,5.62501404296181,4.15889820372811,31.7910480858337,56.3079070378781,56.7698449270187
"131","OPS",2.14045536777261,2.67103456021455,7.14153723220378,5.28413439313528,3.79863037092228,29.6592999679754,52.5830397345233,52.7787053929459
"132","OPS",2.59649269421117,3.14535636698123,7.32463708478959,5.90707687279725,4.66575003068062,26.8444573485844,45.7349263235653,46.7053951478645
"133","OPS",2.36914266801161,2.85777520681775,7.10780039780947,5.39451181111311,3.99096563420969,32.358847230749,59.3008767295564,59.7397236193252
"134","OPS",2.38636683656382,2.90310696779939,7.33962514752614,5.61220702436058,4.16900514621667,29.1705307460987,50.71922711515,51.3067268937657
"135","OPS",2.33234838728623,2.82208807577314,5.98619478732091,5.02139455103305,4.38716375479536,24.036189705256,43.0176120656787,44.9110488627198
